pattern,weight
00000,0
00001,0
00010,0
00011,1
00100,1
00101,1
00110,0
00111,0
01000,0
01001,0
01010,0
01011,0
01100,1
01101,2
01110,2
01111,2
10000,0
10001,0
10010,0
10011,2
10100,1
10101,2
10110,2
10111,1
11000,0
11001,0
11010,0
11011,2
11100,0
11101,2
11110,2
11111,2
